Candidate,Party,EVM Votes,Postal Votes,Total Votes,percent of Votes,Constituency ID
DR JITENDRA SINGH,Bharatiya Janata Party,566833,4243,571076,51.28,U084
CH LAL SINGH,Indian National Congress,444151,2552,446703,40.11,U084
GHULAM MOHD SAROORI,Independent,39519,80,39599,3.56,U084
MEHRAJ DIN,Independent,9055,27,9082,0.82,U084
AMIT KUMAR,Bahujan Samaj Party,8559,83,8642,0.78,U084
MOHD ALI GUJJAR,Independent,7139,19,7158,0.64,U084
MANOJ KUMAR,Ekam Sanatan Bharat Dal,6778,56,6834,0.61,U084
BALWAN SINGH,Jammu & Kashmir National Panthers Party (Bhim),3243,49,3292,0.3,U084
SWARN VEER SINGH JARAL,Independent,3071,17,3088,0.28,U084
DR. PANKAJ SHARMA,Independent,2201,46,2247,0.2,U084
RAJESH MANCHANDA,Independent,1575,30,1605,0.14,U084
SACHIN GUPTA,Independent,1457,6,1463,0.13,U084
NOTA,None of the Above,12891,47,12938,1.16,U084
CHAMALA KIRAN KUMAR REDDY,Indian National Congress,623762,5381,629143,44.89,S2914
DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,401513,5460,406973,29.04,S2914
KYAMA MALLESH,Bharat Rashtra Samithi,254838,1349,256187,18.28,S2914
MAHAMD JAHANGIR,Communist Party of India  (Marxist),28412,318,28730,2.05,S2914
RAMESH GOUD THALLAPELLY,Alliance of Democratic Reforms Party,8130,16,8146,0.58,S2914
AITARAJU ABENDER,Bahujan Samaj Party,7703,66,7769,0.55,S2914
ASURA BALU,Independent,5747,3,5750,0.41,S2914
PULIGILLA BIXAPATHI YADAV,National Nava Kranthi Party,4718,0,4718,0.34,S2914
BUSHIPAKA VENKATAIAH,Independent,4674,1,4675,0.33,S2914
POOSA SRINIVAS,Telangana Rashtra Punahnirmana Samithi,4431,2,4433,0.32,S2914
NARENDRAA VEMULA,Jai Swaraj Party,4303,1,4304,0.31,S2914
KONGARI LINGA SWAMY,Dharma Samaj Party,4029,64,4093,0.29,S2914
TARIGOPPULA MAHENDER,Social Justice Party of India,3088,1,3089,0.22,S2914
KARINGULA YADAGIRI,Independent,2607,5,2612,0.19,S2914
BETHI NARENDER,Independent,2168,0,2168,0.15,S2914
M. GANESH,Pyramid Party of India,1996,14,2010,0.14,S2914
MALLEBOINA PARAMESH YADAV,Independent,1895,2,1897,0.14,S2914
LINGIDI. VENKATESWARLU,Prajavani  Party,1792,0,1792,0.13,S2914
V. SADANANDA REDDY,People Protection Party,1734,3,1737,0.12,S2914
DHERAVATH GOPI NAIK,Jai Maha Bharath Party,1678,4,1682,0.12,S2914
PENTA RAMESH,Independent,1646,1,1647,0.12,S2914
RACHA SUBHADRA REDDY,Socialist Party (India),1444,21,1465,0.1,S2914
VARIKUPPALA. KRISHNA VADDERA,Independent,1361,5,1366,0.1,S2914
BASHABOINA LAKSHMAIAH,Independent,1319,1,1320,0.09,S2914
NUNE VENKAT SWAMY,Independent,919,4,923,0.07,S2914
NARRI. SWAMY KURUMA,Independent,897,1,898,0.06,S2914
JANGA. SUJATHANAVEEN REDDY,Independent,847,0,847,0.06,S2914
ERRA SURYAM,Viduthalai Chiruthaigal Katchi,777,1,778,0.06,S2914
KONGARI MALLAIAH,Independent,631,2,633,0.05,S2914
DR MORIGADI KRISHNA,Independent,616,1,617,0.04,S2914
KANDE. RAMARAJU,Independent,577,2,579,0.04,S2914
KOTHOJU SRINIVASU,National Maha Sabha Party,567,2,569,0.04,S2914
AMIREDDY KIRAN REDDY,Independent,540,1,541,0.04,S2914
CHANDU NAYAK MEGAVATH,Independent,501,1,502,0.04,S2914
KADIRE KIRAN KUMAR,Bahujan Republican  Socialist Party,476,2,478,0.03,S2914
KARUNAKAR REDDY NALLA,Jai Bharat National Party,446,1,447,0.03,S2914
KANDADI. MANIPAL REDDY,Telangana Republican Party,432,1,433,0.03,S2914
UDARI MALLESH,Independent,404,2,406,0.03,S2914
ANIL KUMAR GADEPAKA,Independent,390,3,393,0.03,S2914
NOTA,None of the Above,4571,75,4646,0.33,S2914
AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,755862,12383,768245,53.33,S0119
MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,573769,5921,579690,40.24,S0119
MALLIKARJUNA VAJJALA,Indian National Congress,41954,1263,43217,3,S0119
G.V.RAMANA REDDY,Independent,6436,3,6439,0.45,S0119
BANASI NARAYANAPPA,Bahujan Samaj Party,6280,116,6396,0.44,S0119
V.MURALI PRASAD REDDY,Independent,5775,3,5778,0.4,S0119
DR.NALLANI RAMESH NAIDU,Andhra Rastra Praja Samithi,4862,127,4989,0.35,S0119
M.SURENDRA,Pyramid Party of India,2927,8,2935,0.2,S0119
U.C.VENKATASUBBAIAH,Jaathia Chethi Vruthula Ikya Vedika Party,2533,7,2540,0.18,S0119
P.CHOWDESWARI,Independent,1514,4,1518,0.11,S0119
VADLA KESAVAIAH,Independent,1488,6,1494,0.1,S0119
B.RAGHAVENDRA PRASAD,Independent,1317,1,1318,0.09,S0119
KETHIREDDY RAGHUNATHAREDDY,Independent,1086,5,1091,0.08,S0119
LOKANATH GOWD SURAGOWINI,Independent,1085,6,1091,0.08,S0119
SREERANGARAJULA GOPINATH ROYAL,Independent,903,1,904,0.06,S0119
SHAIK.NIZAM,Samajwadi Party,749,4,753,0.05,S0119
RAMAVTH CHINNA RAMAPPA NAIK,Jaibhim Rao Bharat Party,735,10,745,0.05,S0119
KURUBA MALLIKARJUNA.S.,All India Kisan Janatha party,574,4,578,0.04,S0119
B.NAGAMUTHYALU,Socialist Unity Centre Of India (communist),566,4,570,0.04,S0119
SRINIVASA RAJU.O,Bhartiya Panchyat Party,489,5,494,0.03,S0119
DURGA PRASAD D BYATARAYANAJI,Challengers Party,439,5,444,0.03,S0119
NOTA,None of the Above,9014,185,9199,0.64,S0119
SANJAY SETH,Bharatiya Janata Party,658975,5757,664732,45.91,S278
YASHASWINI SAHAY,Indian National Congress,537646,6574,544220,37.59,S278
DEVENDRA NATH MAHTO,Independent,130526,2121,132647,9.16,S278
SOMA SINGH,Jai Maha Bharath Party,10340,1,10341,0.71,S278
NIPU SINGH,Rashtriya Jansangharsh Swaraj Party,7793,10,7803,0.54,S278
DHANANJAY BHAGAT “GANDHI“,Mera Adhikaar Rashtriya Dal,6784,15,6799,0.47,S278
SHYAM  BIHARI PRAJAPATI,Bhagidari Party(P),6524,6,6530,0.45,S278
MANOJ KUMAR,Bahujan Samaj Party,6383,44,6427,0.44,S278
RAMHARI GOPE,Ambedkarite Party of India,6304,5,6309,0.44,S278
ANJANI PANDEY,Independent,5386,11,5397,0.37,S278
SARWESHWARI SAHU,Ekam Sanatan Bharat Dal,4794,8,4802,0.33,S278
HARINATH SAHU,Lokhit Adhikar Party,4120,16,4136,0.29,S278
HEMNTI DEVI,Samata Party,4069,11,4080,0.28,S278
RANJANA GIRI,Republican Party of India (A),3206,2,3208,0.22,S278
BIRENDRA NATH MANJHI,Abua Jharkhand Party,3130,25,3155,0.22,S278
DHARMENDRA TIWARY,Bhartiya Jantantra Morcha,3072,22,3094,0.21,S278
PRAWEEN KACHHAP,Sampoorna Bharat Kranti Party,2870,74,2944,0.2,S278
PRABEEN CHANDRA MAHATO,Independent,2852,7,2859,0.2,S278
SANTOSH KUMAR JAISWAL,Independent,2782,5,2787,0.19,S278
PANKAJ KUMAR RAVI,Peoples Party of India (Democratic),2756,7,2763,0.19,S278
MANORANJAN BHATTACHARYA,Independent,2537,2,2539,0.18,S278
AINUL ANSARI,Independent,2533,4,2537,0.18,S278
BINOD ORAON,Bahujan Mukti Party,2523,66,2589,0.18,S278
MINTU PASWAN,Socialist Unity Centre Of India (communist),2151,13,2164,0.15,S278
KOLESHWAR MAHTO,Independent,1702,6,1708,0.12,S278
KAMESHWAR PRASAD SAW,Independent,1644,2,1646,0.11,S278
ARSHAD AYUB,Independent,1411,1,1412,0.1,S278
NOTA,None of the Above,8046,107,8153,0.56,S278
KANWAR SINGH TANWAR,Bharatiya Janata Party,475210,1296,476506,42.9,S249
KUNWAR DANISH ALI,Indian National Congress,447343,493,447836,40.32,S249
MUJAHID HUSAIN,Bahujan Samaj Party,163885,214,164099,14.77,S249
DHANISH,Independent,3615,2,3617,0.33,S249
SURESH,Independent,2716,1,2717,0.24,S249
JEETPAL RANA,Independent,2550,6,2556,0.23,S249
SUHEL HAIDER,Akhil Bhartiya Parivar Party,2492,12,2504,0.23,S249
NARENDRA SINGH,Independent,1776,3,1779,0.16,S249
NAEEMUDDIN,Independent,1002,2,1004,0.09,S249
KUSHAGRA,Independent,856,2,858,0.08,S249
KASHIF HUSAIN,Independent,677,2,679,0.06,S249
KUMDESH KUMAR,Independent,627,8,635,0.06,S249
NOTA,None of the Above,5886,14,5900,0.53,S249
RADHESHYAM RATHIYA,Bharatiya Janata Party,806667,1608,808275,55.63,S262
DR. MENKA DEVI SINGH,Indian National Congress,566487,1397,567884,39.08,S262
INNOCENT KUJUR - BIDANA ORAON,Bahujan Samaj Party,15493,107,15600,1.07,S262
ALBERT MING,Hamar Raj Party,10915,44,10959,0.75,S262
PRAKASH KUMAR URANW,Independent,7719,3,7722,0.53,S262
RUPNARAYAN EKKA,Independent,7410,10,7420,0.51,S262
GOWARDHAN RATHIA,Independent,4591,2,4593,0.32,S262
POOJA SIDAR,Independent,4159,8,4167,0.29,S262
MADAN PRASAD GOND,Gondvana Gantantra Party,3007,8,3015,0.21,S262
GULESHWAR PAINKRA,Bhartiya Shakti Chetna Party,2618,8,2626,0.18,S262
UDAY KUMAR RATHIA,Independent,2127,2,2129,0.15,S262
ABHAY KUMAR EKKA,Independent,1808,17,1825,0.13,S262
BADAL EKKA,Sarv Adi Dal,1714,14,1728,0.12,S262
NOTA,None of the Above,14993,29,15022,1.03,S262
KHALILUR RAHAMAN,All India Trinamool Congress,543449,978,544427,39.75,S259
MURTOJA HOSSAIN BOKUL,Indian National Congress,427105,685,427790,31.23,S259
DHANANJAY GHOSH,Bharatiya Janata Party,339868,946,340814,24.88,S259
REJAUL MONDAL,Independent,7500,0,7500,0.55,S259
SAJAHAN BISWAS,All India Secular Front,6847,11,6858,0.5,S259
MUKTIPADA KONAI,Independent,5670,1,5671,0.41,S259
ASHISH BHUIMALI,Independent,3949,2,3951,0.29,S259
MD SARWARUL ISLAM SARKAR,Bahujan Samaj Party,3511,4,3515,0.26,S259
MD SAHABUDDIN,Social Democratic Party Of India,3489,7,3496,0.26,S259
SAMIRUDDIN,Socialist Unity Centre Of India (communist),1946,4,1950,0.14,S259
PARIMAL GHOSH,Independent,1928,3,1931,0.14,S259
SANUAR ALI,Bharatheeya Jawan Kisan Party,1698,2,1700,0.12,S259
RAJIB CHATTERJEE,Bhartiya Lokmat Rashtrwadi Party,1527,5,1532,0.11,S259
MD ASADUL BISWAS,Independent,1340,0,1340,0.1,S259
NOTA,None of the Above,17135,23,17158,1.25,S259
SHOBHA KARANDLAJE,Bharatiya Janata Party,982805,3244,986049,56.27,S1024
PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,725190,1383,726573,41.46,S1024
GOVINDAIAH,Bahujan Samaj Party,4614,17,4631,0.26,S1024
SANTHOSH M,Uttama Prajaakeeya Party,3450,11,3461,0.2,S1024
UDAYA SHANKAR.G,Prahar Janshakti Party,2676,2,2678,0.15,S1024
LAKSHMI SRIHARI.J.N.,Independent,2091,3,2094,0.12,S1024
DILIP KUMAR I.S.,Independent,1896,7,1903,0.11,S1024
K.M.MAHADEVA,Independent,1716,4,1720,0.1,S1024
K.V.NANJUNDASWAMY,Independent,1363,2,1365,0.08,S1024
SHOBHA,Independent,1272,8,1280,0.07,S1024
Y.R.KALLESHWARI,Samajwadi Janata Party(Karnataka),1072,5,1077,0.06,S1024
NIRMALA H.L,Socialist Unity Centre Of India (communist),972,5,977,0.06,S1024
H.R.NATARAJ,Independent,857,4,861,0.05,S1024
BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,831,0,831,0.05,S1024
SHIVAKUMAR. B,Karnataka Rashtra Samithi,813,4,817,0.05,S1024
SUDHA.  V,Independent,650,7,657,0.04,S1024
KRISHNAIAH,Rashtriya Samaj Dal (R),556,3,559,0.03,S1024
HEBBAL VENKATESH.J,Republican Party of India (A),422,3,425,0.02,S1024
"GLOBE STAR J. JAI SIMHA VARMA, B E.",Gareeb Aadmi Party,356,3,359,0.02,S1024
SHOBAN BABU  V,Indian Labour Party (Ambedkar Phule),315,5,320,0.02,S1024
PARASAPPA BHEEMAPPA GAJJERI,Rani Chennamma Party,313,0,313,0.02,S1024
NOTA,None of the Above,13499,55,13554,0.77,S1024
SALENG A SANGMA,Indian National Congress,382058,1861,383919,56.96,S152
AGATHA K SANGMA,National People's Party,227210,1468,228678,33.93,S152
ZENITH M SANGMA,All India Trinamool Congress,48518,191,48709,7.23,S152
LABENN CH MARAK,Independent,6846,64,6910,1.03,S152
NOTA,None of the Above,5809,31,5840,0.87,S152
SAJDA AHMED,All India Trinamool Congress,722586,2036,724622,52.1,S2526
ARUNUDAY PAULCHOWDHURY,Bharatiya Janata Party,504611,1338,505949,36.38,S2526
AZAHAR MOLLICK,Indian National Congress,78304,285,78589,5.65,S2526
MOFIKUL ISLAM,All India Secular Front,38971,20,38991,2.8,S2526
ARIT KARAK,Independent,7287,5,7292,0.52,S2526
AMAL KUMAR DEYATI,Bharatiya Nyay-Adhikar Raksha Party,5445,6,5451,0.39,S2526
RAMESH KHANRA,Independent,5094,10,5104,0.37,S2526
BIMALESH KUMAR HELA,Bahujan Samaj Party,4867,8,4875,0.35,S2526
SK. SAPIYAR ALI,Independent,2924,0,2924,0.21,S2526
NIKHIL BERA,Socialist Unity Centre Of India (communist),2095,12,2107,0.15,S2526
AMAL KUMAR BARMAN,Independent,1997,3,2000,0.14,S2526
RAMPRASAD GHORAI,Indian Unity Centre,1568,4,1572,0.11,S2526
NOTA,None of the Above,11263,55,11318,0.81,S2526
ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,793432,2431,795863,51.93,S1224
KANTILAL BHURIA,Indian National Congress,586904,1727,588631,38.41,S1224
ENGINEER BALUSINGH GAMAD,Bharat Adivasi Party,52525,234,52759,3.44,S1224
RAMCHANDRA SOLANKI,Bahujan Samaj Party,15159,13,15172,0.99,S1224
SURAJ BHABHAR,Independent,10060,2,10062,0.66,S1224
RANGLA KALESH,Independent,7331,4,7335,0.48,S1224
KASNA RANA PARGI,Independent,7311,5,7316,0.48,S1224
SUMITRA MEDA,Independent,6927,3,6930,0.45,S1224
RAMESHWAR SINGAR,Independent,4603,4,4607,0.3,S1224
MOHANSINGH NINGWAL,Bhartiya Samajik Party,4503,4,4507,0.29,S1224
SHEETAL BARELA,Akhand Bharat Samrajya Party,3929,1,3930,0.26,S1224
UDESINGH MACHAR,Republican Party of India (A),3795,1,3796,0.25,S1224
NOTA,None of the Above,31697,38,31735,2.07,S1224
G. KISHAN REDDY,Bharatiya Janata Party,468311,4701,473012,45.15,S298
DANAM NAGENDER,Indian National Congress,420220,2848,423068,40.38,S298
PADMA RAO . T,Bharat Rashtra Samithi,128680,906,129586,12.37,S298
DR.  BASWANANDAM DANDEPU,Bahujan Samaj Party,2248,20,2268,0.22,S298
SARARAPU SRISAILAM,Telangana Rajya Samithi,1726,1,1727,0.16,S298
SAPAVAT SUMAN,Independent,996,0,996,0.1,S298
R.S.J. THOMAS,Jai Swaraj Party,971,3,974,0.09,S298
RAASALA VINOD KUMAR,Dharma Samaj Party,820,6,826,0.08,S298
KOLISETTY SHIVA KUMAR,Yuga Thulasi Party,678,1,679,0.06,S298
MACHCHERLA VENKATA REDDY,Independent,672,1,673,0.06,S298
MOHAMMED AKRAM ALI KHAN,Independent,596,1,597,0.06,S298
MOHAMMED RAFIUDDIN KALEEM,All India Majlis-E-Inquilab-E-Millat,478,6,484,0.05,S298
LUNAVATH HARI RAM,Independent,474,0,474,0.05,S298
BOGGULA SUNIITHHA,Independent,417,1,418,0.04,S298
MOHAMMED AYUB ALI,Anna YSR Congress Party,406,4,410,0.04,S298
MOHAMMED FASI UDDIN,Independent,341,1,342,0.03,S298
PULIMAMIDI VENKATESH GUPTA,Independent,340,0,340,0.03,S298
IBRAHIM KHAN,Independent,315,5,320,0.03,S298
ANDRAPU SUDARSHAN,Independent,312,3,315,0.03,S298
JUNAID ANAM SIDDIQUI,Independent,294,1,295,0.03,S298
KRANTHI KUMAR BANDELA,Indian National Yuva Jana Party,283,2,285,0.03,S298
DR. R. GANGADHAR,Socialist Unity Centre Of India (communist),280,1,281,0.03,S298
UTTAM PRAVEEN KUMAR,Independent,273,1,274,0.03,S298
GOWLIKAR SONY,Social Justice Party of India,269,3,272,0.03,S298
BATHULA RAVI,Independent,252,0,252,0.02,S298
P C LINGANNA,Independent,243,0,243,0.02,S298
MOHAMMED IBRAHIM AHMED,Independent,240,2,242,0.02,S298
SANGALA FLORY,Independent,223,0,223,0.02,S298
MOHAMMED ABDUL AZEEM,Independent,220,1,221,0.02,S298
GANESH BHARGAVI GUNDE,Jai Bharat National Party,220,3,223,0.02,S298
V. K. VIJAYA LAKSHMI,Independent,213,3,216,0.02,S298
CHEEKATI BHUPAL GOUD,All India Backward People Sunami Party,209,1,210,0.02,S298
BOMMAKANTI SOWMYA,Pyramid Party of India,201,4,205,0.02,S298
KRUPAVARAM GANDU,Independent,159,2,161,0.02,S298
PAMPARI NARENDER,Independent,143,0,143,0.01,S298
SYED KHADER,Independent,132,1,133,0.01,S298
B . SUNITHA RANI,Socialist Party (India),130,3,133,0.01,S298
CHALIKA CHANDRA SEKHAR,Independent,129,0,129,0.01,S298
PAGIDIPALLI SHYAMSON,Viduthalai Chiruthaigal Katchi,126,4,130,0.01,S298
REDDYMALLA PARVATHI,Independent,126,1,127,0.01,S298
VELAMARTHI. RAVI KIRAN,Independent,123,1,124,0.01,S298
K. MURALI KRISHNA,Independent,120,0,120,0.01,S298
DEVENDAR KONNE,Independent,117,0,117,0.01,S298
KONDOJU MOHAN,Independent,113,1,114,0.01,S298
MD KHALEEL UZ ZAMA,Independent,110,1,111,0.01,S298
NOTA,None of the Above,5092,74,5166,0.49,S298
CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,750323,4199,754522,54.15,S1347
SANJAY SADASHIVRAO MANDLIK,Shiv Sena,597014,2544,599558,43.03,S1347
SANJAY BHIKAJI MAGADE,Bahujan Samaj Party,3946,56,4002,0.29,S1347
MUSHTAK AJIJ MULLA,Independent,3822,2,3824,0.27,S1347
MADHURI RAJU JADHAV,Independent,3503,5,3508,0.25,S1347
KHADE BAJIRAO NANASO,Independent,3497,15,3512,0.25,S1347
KRUSHNABAI DIPAK CHOUGALE,Independent,3045,18,3063,0.22,S1347
KOGALE SANDEEP BHAIRAVNATH,Desh Janhit Party,2952,23,2975,0.21,S1347
ADV. YASH SUHAS HEGDEPATIL,Independent,2457,2,2459,0.18,S1347
NAGNATH PUNDALIK BENAKE,Independent,1215,12,1227,0.09,S1347
RAJANDARA BALASO KOLI,Independent,1029,15,1044,0.07,S1347
B. T. PATIL (EX SERVICEMAN),Bharatheeya Jawan Kisan Party,1011,96,1107,0.08,S1347
SUBHASH VAIJU DESAI,Independent,847,2,849,0.06,S1347
MANGESH JAYSINGH PATIL,Independent,647,6,653,0.05,S1347
SHASHIBHUSHAN JEEVANRAO DESAI,Akhil Bharat Hindu Mahasabha,636,15,651,0.05,S1347
SANTOSH GANPATI BISURE,Apni Prajahit Party,635,4,639,0.05,S1347
DR. SUNIL NAMDEV PATIL,National Black Panther Party,626,7,633,0.05,S1347
KRUSHNA HANMANT DESAI,Independent,602,2,604,0.04,S1347
IRFAN ABUTALIB CHAND,Independent,595,2,597,0.04,S1347
MANE ARVIND BHIVA,Bhartiya Rashtriya Dal,558,12,570,0.04,S1347
SANDEEP GUNDOPANT SANKPAL,Independent,541,3,544,0.04,S1347
KUDARTULLA ADAM LATIF,Independent,465,2,467,0.03,S1347
SALIM NURMUHAMAD BAGWAN,Independent,334,1,335,0.02,S1347
NOTA,None of the Above,5932,51,5983,0.43,S1347
RAMPRIT MANDAL,Janata Dal  (United),532138,894,533032,48.73,S047
SUMAN KUMAR MAHASETH,Vikassheel Insaan Party,347989,874,348863,31.9,S047
GULAB YADAV,Bahujan Samaj Party,73532,352,73884,6.76,S047
RAM PRASAD RAUT,Independent,25993,17,26010,2.38,S047
GANGA PRASAD YADAV,Independent,18064,10,18074,1.65,S047
GAURI SHANKAR SAHU,Independent,14307,18,14325,1.31,S047
RAJIV KUMAR JHA,Independent,12488,25,12513,1.14,S047
BABLU KUMAR,Aadarsh Mithila Party,11638,35,11673,1.07,S047
VIDYA NAND RAM,Wazib Adhikar Party,10843,19,10862,0.99,S047
VIJAY KUMAR MANDAL,Socialist Unity Centre Of India (communist),8556,21,8577,0.78,S047
NOTA,None of the Above,35846,82,35928,3.28,S047
BAIJAYANT PANDA,Bharatiya Janata Party,612916,2789,615705,48.21,S1815
ANSHUMAN MOHANTY,Biju Janata Dal,547681,1488,549169,43,S1815
SIDHARTH SWARUP DASH,Indian National Congress,94595,237,94832,7.43,S1815
SOUBHAGYA KETAN SAMAL,Socialist Unity Centre Of India (communist),3393,2,3395,0.27,S1815
SEKHA SADIKA HOSEN,Bahujan Samaj Party,1845,7,1852,0.15,S1815
SUPRAVA DAS,Akhil Bhartiya Parivar Party,1559,2,1561,0.12,S1815
SRIRAM PANDEY,Independent,1397,2,1399,0.11,S1815
SANTOSH KUMAR PATRA,Independent,1370,3,1373,0.11,S1815
PRATAP CHANDRA MOHANTY,Independent,1088,7,1095,0.09,S1815
PRANGYAN PRAKASH MOHAPATRA,Odisha Janata Party,910,2,912,0.07,S1815
NOTA,None of the Above,5807,8,5815,0.46,S1815
JAGADISH CHANDRA BARMA BASUNIA,All India Trinamool Congress,785747,2628,788375,48.57,S251
NISITH PRAMANIK,Bharatiya Janata Party,745144,3981,749125,46.16,S251
NITISH CHANDRA ROY,All India Forward Bloc,29992,275,30267,1.86,S251
PIYA ROY CHOWDHURY,Indian National Congress,10539,140,10679,0.66,S251
HAREKRISHNA SARKAR,Independent,9462,5,9467,0.58,S251
KAMALESH BARMAN,Independent,2972,21,2993,0.18,S251
NABI BARMAN,Independent,2710,14,2724,0.17,S251
SUBODH BARMAN,Independent,2594,5,2599,0.16,S251
DILIP CHANDRA BARMAN,Socialist Unity Centre Of India (communist),2449,19,2468,0.15,S251
PURNA MOHAN ROY,Bahujan Samaj Party,2087,10,2097,0.13,S251
BIDHAN DAS,Independent,2067,5,2072,0.13,S251
KISHORE RAY,Independent,1588,18,1606,0.1,S251
PRADIP KUMAR ROY,Kamatapur People's Party (United),1499,19,1518,0.09,S251
AMAL DAS,Independent,1488,7,1495,0.09,S251
NOTA,None of the Above,15510,53,15563,0.96,S251
KADIYAM KAVYA,Indian National Congress,575566,5728,581294,45.85,S2915
AROORI RAMESH,Bharatiya Janata Party,355875,5080,360955,28.47,S2915
Dr. MARAPALLY SUDHEER KUMAR,Bharat Rashtra Samithi,230820,1213,232033,18.3,S2915
AMBOJU BUDDAIAH,Alliance of Democratic Reforms Party,11103,12,11115,0.88,S2915
KALPANA PANJA,Bahujan Samaj Party,9230,97,9327,0.74,S2915
KONGARA ANIL KUMAR,Independent,6259,0,6259,0.49,S2915
ANIL KUMAR GADEPAKA,Independent,4482,4,4486,0.35,S2915
BUNGA JYOTHI RAMANA,Aihra National Party,4262,3,4265,0.34,S2915
MEKALA SUMAN,Dharma Samaj Party,3972,66,4038,0.32,S2915
AR NENA PREM READY RIPEEKA,Mana Telangana Rashtra Samaikya Party,3625,9,3634,0.29,S2915
KOYYADA NARESH,Independent,3283,3,3286,0.26,S2915
PRAMEELA JANNU,Independent,3022,0,3022,0.24,S2915
BARIGELA SHIVA,Independent,2947,2,2949,0.23,S2915
S P K  SAGAR,Jai Maha Bharath Party,2769,4,2773,0.22,S2915
PASULA RAVI,Republican Party of India (Athawale),2220,19,2239,0.18,S2915
DEVARAJU PENDELA,Rashtriya Praja Congress  (Secular),2072,11,2083,0.16,S2915
POTHARAJU NARASIMHARAJU,Independent,1955,0,1955,0.15,S2915
BOLLAM VIJAY KUMAR,Independent,1821,4,1825,0.14,S2915
MACHA DEVENDER,Viduthalai Chiruthaigal Katchi,1753,16,1769,0.14,S2915
ROOPA POLEPAKA,Independent,1657,2,1659,0.13,S2915
NARMADA PRAVEEN,Pyramid Party of India,1657,7,1664,0.13,S2915
DHAYAKAR GAJJI,Independent,1637,1,1638,0.13,S2915
POGULA ASHOK,Independent,1333,4,1337,0.11,S2915
THANDRA ESHWAR,Independent,1290,2,1292,0.1,S2915
MANDA NARESH,Independent,1044,7,1051,0.08,S2915
KOTHAPALLI SAVITHRI,Marxist Communist Party of India (United),1018,5,1023,0.08,S2915
PUTTA VINOD KUMAR,Independent,908,1,909,0.07,S2915
BOCHU RAJU,Independent,905,8,913,0.07,S2915
PAITHARA ACHYUTH,Independent,901,5,906,0.07,S2915
MANGALAPELLI ASHAIAH,Independent,847,0,847,0.07,S2915
GADDAM CHIRANJEEVI,Independent,825,1,826,0.07,S2915
MOTHKUPELLY PRABHAKAR,Independent,818,1,819,0.06,S2915
GANNARAPU RAVINDER,Independent,752,0,752,0.06,S2915
GANIPAKA PRADEEP,Independent,710,3,713,0.06,S2915
RAMESH BABU SHANIGARAPU,Independent,658,4,662,0.05,S2915
Dr GADAM MALLESH,Jai Bharat National Party,563,4,567,0.04,S2915
THALLAPALLY VENKATAIAH,Independent,538,0,538,0.04,S2915
BASHIPAKA SUDHAKAR,Independent,503,2,505,0.04,S2915
RK GANAPURAM,Independent,468,6,474,0.04,S2915
CHILUVERU PRATHAP,Independent,399,2,401,0.03,S2915
THATIKAYALA SATHISH BABU,Independent,382,2,384,0.03,S2915
CHILUMULLA SUJATHA,Independent,377,2,379,0.03,S2915
NOTA,None of the Above,8209,171,8380,0.66,S2915
KALI CHARAN SINGH,Bharatiya Janata Party,568912,5644,574556,52.89,S274
KRISHNA NAND TRIPATHI,Indian National Congress,348110,5487,353597,32.55,S274
AMIT KUMAR SINGH,Independent,31976,15,31991,2.94,S274
ARJUN KUMAR,Communist Party of India,14062,60,14122,1.3,S274
DR. ABHISHEK KUMAR SINGH,Independent,14038,68,14106,1.3,S274
ARJUN PRAJAPATI,Independent,13320,8,13328,1.23,S274
DEEPAK KUMAR GUPTA,Independent,12384,182,12566,1.16,S274
NAGMANI,Bahujan Samaj Party,11798,152,11950,1.1,S274
CHANDAN KUMAR,Independent,6569,13,6582,0.61,S274
MD ABUZAR KHAN,Independent,5820,3,5823,0.54,S274
YOGESH KUMAR SINGH,Independent,5110,2,5112,0.47,S274
BIMAL LAKRA,Ambedkarite Party of India,4983,31,5014,0.46,S274
KARMLAL ORAON,Peoples Party of India (Democratic),3968,42,4010,0.37,S274
SUMIT KUMAR YADAV,Samata Party,3499,17,3516,0.32,S274
SANJAY KUMAR SNEHI,Lokhit Adhikar Party,3202,14,3216,0.3,S274
MAHESH BANDO,Bahujan Mukti Party,3159,42,3201,0.29,S274
SRIRAM SINGH,Independent,2991,2,2993,0.28,S274
DARSHAN GANJHU,Jharkhand Party,2780,37,2817,0.26,S274
DULESHWAR SAW,Bharatheeya Jawan Kisan Party,2376,9,2385,0.22,S274
LAW KUMAR PANDIT,Bhagidari Party(P),2372,8,2380,0.22,S274
KAMDEO DIHO RANA,Rashtriya Jan Utkarsh Party,2297,12,2309,0.21,S274
VIKRANT KUMAR SINGH,Independent,2288,1,2289,0.21,S274
NOTA,None of the Above,8435,76,8511,0.78,S274
JAGANNATH SARKAR,Bharatiya Janata Party,778046,4350,782396,50.78,S2513
MUKUT MANI ADHIKARI,All India Trinamool Congress,592276,3221,595497,38.65,S2513
